datetime,open,high,low,close,volume
2025-11-17 13:21:00,669.049988,669.42999,669.020020,669.32990,76865
2025-11-17 13:20:00,669.090027,669.20001,668.95001,669.059998,60078
2025-11-17 13:19:00,669.039978,669.13000,668.96002,669.090027,55707
2025-11-17 13:18:00,669.22998,669.30988,668.83002,669.030029,107079
2025-11-17 13:17:00,668.94000,669.33002,668.91998,669.22998,74654
2025-11-17 13:16:00,668.56000,668.97998,668.52002,668.94000,98158
2025-11-17 13:15:00,669,669.059998,668.53998,668.56500,127701
2025-11-17 13:14:00,668.85999,669.20001,668.84998,668.99548,107950
2025-11-17 13:13:00,668.75500,669.030029,668.66998,668.85999,116819
2025-11-17 13:12:00,668.60999,668.78003,668.44000,668.75500,137754
2025-11-17 13:11:00,669.099976,669.10999,668.53998,668.59790,136539
2025-11-17 13:10:00,668.57001,669.47998,668.53003,669.125,300599
2025-11-17 13:09:00,668.42999,668.63000,668.31000,668.57001,115716
2025-11-17 13:08:00,668.53003,668.58002,668.21997,668.42401,128701
2025-11-17 13:07:00,668.76001,668.76001,668.40002,668.53998,94223
2025-11-17 13:06:00,668.65997,669.0079956,668.54999,668.76001,148489
2025-11-17 13:05:00,668.56000,668.81000,668.47998,668.66998,126996
2025-11-17 13:04:00,668.66998,668.73999,668.34998,668.56000,118379
2025-11-17 13:03:00,668.73999,668.95001,668.57001,668.70203,182752
2025-11-17 13:02:00,668.84003,668.87000,668.37000,668.73999,292301
2025-11-17 13:01:00,669.094971,669.094971,668.78003,668.84998,116930
2025-11-17 13:00:00,669.23999,669.28003,669.020020,669.099976,192522
2025-11-17 12:59:00,669.60999,669.60999,669.15002,669.21997,107515
2025-11-17 12:58:00,669.75,669.75,669.5,669.62000,96659
2025-11-17 12:57:00,669.74011,669.77002,669.48999,669.77002,88963
2025-11-17 12:56:00,669.69000,669.89001,669.53003,669.77002,135087
2025-11-17 12:55:00,669.71997,669.83002,669.51001,669.70001,115509
2025-11-17 12:54:00,670.059998,670.080017,669.65002,669.72998,123261
2025-11-17 12:53:00,669.92999,670.33002,669.92560,670.059998,132067
2025-11-17 12:52:00,670.070007,670.075012,669.85999,669.92999,147008
2025-11-17 12:51:00,670.41998,670.41998,670.025024,670.075012,95426
2025-11-17 12:50:00,670.78003,670.87000,670.34998,670.40503,127206
2025-11-17 12:49:00,670.39001,670.96002,670.28003,670.77002,157292
2025-11-17 12:48:00,670.5,670.53003,670.28998,670.39728,112309
2025-11-17 12:47:00,670.51001,670.57013,670.22998,670.47998,112358
2025-11-17 12:46:00,670.32001,670.58002,670.12000,670.51001,187009
2025-11-17 12:45:00,670.91998,670.96997,670.090027,670.32001,290842
2025-11-17 12:44:00,671.29999,671.35999,670.85498,670.91998,142988
2025-11-17 12:43:00,671.29498,671.53003,671.25500,671.30768,88806
2025-11-17 12:42:00,671.030029,671.46997,670.94019,671.28998,137767
2025-11-17 12:41:00,671.13000,671.15002,670.84003,671.010010,132611
2025-11-17 12:40:00,671.52551,671.53003,671.099976,671.12000,147486
2025-11-17 12:39:00,671.625,671.76001,671.37000,671.52002,99219
2025-11-17 12:38:00,671.81000,671.83112,671.53998,671.59003,117787
2025-11-17 12:37:00,672.13000,672.21002,671.78998,671.81000,86887
2025-11-17 12:36:00,672.42999,672.42999,672.049988,672.13501,93012
2025-11-17 12:35:00,672.33002,672.59003,672.28003,672.44000,74899
2025-11-17 12:34:00,672.15002,672.38000,672.15002,672.33502,76821
2025-11-17 12:33:00,672.070007,672.21002,671.86499,672.16998,87420
2025-11-17 12:32:00,672.039978,672.19000,671.96997,672.090027,89637
2025-11-17 12:31:00,672.31000,672.31000,671.97998,672.010010,74638
2025-11-17 12:30:00,672.33002,672.51001,672.15002,672.32001,123858
2025-11-17 12:29:00,671.90002,672.34003,671.90002,672.31012,78056
2025-11-17 12:28:00,672.11499,672.12000,671.79999,671.90997,88306
2025-11-17 12:27:00,672.15997,672.27502,672.030029,672.14001,64443
2025-11-17 12:26:00,672.080017,672.34497,671.96997,672.15997,67633
2025-11-17 12:25:00,672.22998,672.28998,671.88000,672.080017,81660
2025-11-17 12:24:00,672.31500,672.39001,672.16998,672.21002,45383
2025-11-17 12:23:00,672.21997,672.38000,671.96002,672.31152,106031
2025-11-17 12:22:00,671.98999,672.45001,671.96997,672.21997,83798
2025-11-17 12:21:00,672.23499,672.23499,671.81000,671.97998,81772
2025-11-17 12:20:00,672.099976,672.38000,671.92999,672.23669,121113
2025-11-17 12:19:00,672.099976,672.13483,671.70502,672.12000,126749
2025-11-17 12:18:00,672.26001,672.26001,672.070007,672.099976,40813
2025-11-17 12:17:00,672.41998,672.42999,672.13000,672.27002,66575
2025-11-17 12:16:00,672.32001,672.54999,672.25,672.44000,63427
2025-11-17 12:15:00,672.42999,672.42999,672.039978,672.31000,101690
2025-11-17 12:14:00,672.45001,672.57001,672.33002,672.41998,40555
2025-11-17 12:13:00,672.14001,672.56000,672.14001,672.46002,83426
2025-11-17 12:12:00,672.37000,672.37000,671.97498,672.14001,110032
2025-11-17 12:11:00,672.32001,672.52002,672.26001,672.35999,60142
2025-11-17 12:10:00,672.59003,672.65503,672.28998,672.32501,69998
2025-11-17 12:09:00,672.54999,672.62000,672.49969,672.59003,33875
2025-11-17 12:08:00,672.44000,672.56982,672.28003,672.56000,39440
2025-11-17 12:07:00,672.31000,672.65997,672.29999,672.45001,107069
2025-11-17 12:06:00,672.44000,672.44000,672.099976,672.31000,135243
2025-11-17 12:05:00,672.53003,672.71997,672.40002,672.46002,82399
2025-11-17 12:04:00,672.71997,672.73999,672.40503,672.52820,96209
2025-11-17 12:03:00,672.85999,672.88000,672.62000,672.67999,71782
2025-11-17 12:02:00,672.65997,672.97998,672.65002,672.86499,71346
2025-11-17 12:01:00,672.71002,672.87000,672.51001,672.64001,87481
2025-11-17 12:00:00,672.94000,673,672.67688,672.71997,108538
2025-11-17 11:59:00,672.85999,672.97998,672.80499,672.95001,79930
2025-11-17 11:58:00,672.72998,672.94000,672.65002,672.86438,65689
2025-11-17 11:57:00,672.63000,672.84998,672.53998,672.72998,121152
2025-11-17 11:56:00,672.23999,672.66431,672.21997,672.625,93945
2025-11-17 11:55:00,672.5,672.50500,671.99500,672.25,213106
2025-11-17 11:54:00,672.45502,672.58002,672.34998,672.52002,85253
2025-11-17 11:53:00,672.59998,672.71997,672.42499,672.45502,98729
2025-11-17 11:52:00,672.53009,672.69000,672.51001,672.59998,73711
2025-11-17 11:51:00,672.59003,672.62000,672.40002,672.53998,93912
2025-11-17 11:50:00,672.090027,672.60999,672.090027,672.57483,171056
2025-11-17 11:49:00,672.16998,672.28998,671.98999,672.099976,119678
2025-11-17 11:48:00,671.85999,672.20001,671.84998,672.17999,89767
2025-11-17 11:47:00,671.96002,672.15002,671.78003,671.87000,120001
2025-11-17 11:46:00,671.79999,672.039978,671.75,671.96997,100314
2025-11-17 11:45:00,671.72998,671.96997,671.56000,671.79498,125492
2025-11-17 11:44:00,671.76001,671.87000,671.64001,671.71997,123416
2025-11-17 11:43:00,671.79999,672.049988,671.75,671.75,129307
2025-11-17 11:42:00,671.83002,671.98999,671.65997,671.82001,161103
2025-11-17 11:41:00,671.88000,672.080017,671.70001,671.81000,176324
2025-11-17 11:40:00,671.23999,671.90002,671.19000,671.88000,160776
2025-11-17 11:39:00,671.090027,671.34998,671.030029,671.25,120092
2025-11-17 11:38:00,671.33002,671.34003,671.010010,671.10999,112450
2025-11-17 11:37:00,671.19000,671.37000,671.12000,671.34003,118663
2025-11-17 11:36:00,670.89001,671.23999,670.81000,671.19501,128704
2025-11-17 11:35:00,670.84998,670.91998,670.46997,670.89001,173881
2025-11-17 11:34:00,670.75,670.97998,670.72998,670.84003,112528
2025-11-17 11:33:00,671.17499,671.20001,670.63000,670.75,265028
2025-11-17 11:32:00,671.010010,671.27002,670.83002,671.16998,215783
2025-11-17 11:31:00,670.59003,671.065002,670.57001,671.0050049,391876
2025-11-17 11:30:00,670.47998,670.65997,670.37201,670.59003,272782
2025-11-17 11:29:00,669.98999,670.53003,669.98999,670.47498,195537
2025-11-17 11:28:00,669.79498,670.125,669.62000,669.97998,206819
2025-11-17 11:27:00,669.34497,669.84998,669.28003,669.78998,235640
2025-11-17 11:26:00,668.60437,669.38501,668.60437,669.34497,187457
2025-11-17 11:25:00,668.60999,668.70001,668.29999,668.57001,169865
2025-11-17 11:24:00,668.47998,668.66333,668.41998,668.59998,126612
2025-11-17 11:23:00,668.21997,668.73651,668.19501,668.47498,302407
2025-11-17 11:22:00,668.015015,668.34998,668.010010,668.21503,188903
2025-11-17 11:21:00,668.22998,668.28003,667.90002,668,138722
2025-11-17 11:20:00,668.099976,668.28003,667.81500,668.22998,347537
2025-11-17 11:19:00,668.17999,668.34998,668.030029,668.094971,193302
2025-11-17 11:18:00,668.21002,668.45001,668.15002,668.19000,266599
2025-11-17 11:17:00,667.92999,668.23999,667.77002,668.21002,234418
2025-11-17 11:16:00,668.20001,668.20001,667.87000,667.93500,246166
2025-11-17 11:15:00,668.66998,668.66998,668.15002,668.20477,262502
2025-11-17 11:14:00,668.93500,668.93500,668.52502,668.66998,285012
2025-11-17 11:13:00,668.92999,669.049988,668.82001,668.94501,341873
2025-11-17 11:12:00,669.13000,669.20001,668.84998,668.90002,172674
2025-11-17 11:11:00,669.29999,669.32001,668.98999,669.12000,144674
2025-11-17 11:10:00,669.22998,669.57001,669.16498,669.29999,241286
2025-11-17 11:09:00,669.13000,669.26001,668.92999,669.23499,187656
2025-11-17 11:08:00,669.31000,669.32001,668.90002,669.13000,241108
2025-11-17 11:07:00,669.40002,669.66998,669.23999,669.29999,203932
2025-11-17 11:06:00,670.049988,670.059387,669.38989,669.40002,228269
2025-11-17 11:05:00,670.28003,670.34998,669.92999,670.059326,133878
2025-11-17 11:04:00,670.080017,670.33002,670.048828,670.27002,151282
2025-11-17 11:03:00,669.90997,670.13000,669.77002,670.080017,186446
2025-11-17 11:02:00,670.10999,670.10999,669.76001,669.90002,215771
2025-11-17 11:01:00,670.77002,670.82001,669.98999,670.12000,239221
2025-11-17 11:00:00,670.70502,670.97998,670.64001,670.76501,169900
2025-11-17 10:59:00,670.64001,670.72998,670.33002,670.70502,144182
2025-11-17 10:58:00,670.64001,671.030029,670.53998,670.65997,154817
2025-11-17 10:57:00,670.78003,670.85999,670.53003,670.65997,114175
2025-11-17 10:56:00,671.20001,671.27002,670.65997,670.78003,771463
2025-11-17 10:55:00,671.15997,671.47998,671.030029,671.22998,127153
2025-11-17 10:54:00,671.32001,671.46002,671.13000,671.15997,106407
2025-11-17 10:53:00,670.87000,671.44000,670.87000,671.31000,134267
2025-11-17 10:52:00,670.71997,670.96997,670.64020,670.88000,95909
2025-11-17 10:51:00,670.78003,671.030029,670.62000,670.74139,145220
2025-11-17 10:50:00,671.17999,671.28003,670.71002,670.76001,148046
2025-11-17 10:49:00,671.90997,671.90997,670.87000,671.14502,249678
2025-11-17 10:48:00,671.65002,672.090027,671.59998,671.89001,126925
2025-11-17 10:47:00,671.62000,671.78998,671.48999,671.65997,93236
2025-11-17 10:46:00,671.34998,671.79999,671.21002,671.60999,144322
2025-11-17 10:45:00,671.69000,671.69000,671.17999,671.34998,145934
2025-11-17 10:44:00,671.020020,671.71002,671.010010,671.70001,199717
2025-11-17 10:43:00,670.59003,671.099976,670.41998,671.039978,228354
2025-11-17 10:42:00,670.35999,670.65002,670.17999,670.57001,255028
2025-11-17 10:41:00,670.31000,670.58002,670.21100,670.34003,183568
2025-11-17 10:40:00,670.59003,670.63000,670.14001,670.31000,238252
2025-11-17 10:39:00,670.75,670.78998,670.5,670.59003,128871
2025-11-17 10:38:00,671.049988,671.21997,670.67999,670.74500,146617
2025-11-17 10:37:00,670.91998,671.47998,670.78998,671.039978,238241
2025-11-17 10:36:00,671.059998,671.17999,670.82501,670.94000,135642
2025-11-17 10:35:00,670.96997,671.12000,670.76501,671.050903,171434
2025-11-17 10:34:00,670.53998,671,670.46997,670.97998,162876
2025-11-17 10:33:00,671.080017,671.080017,670.42999,670.55499,211689
2025-11-17 10:32:00,672.010010,672.059998,670.98499,671.065002,153561
2025-11-17 10:31:00,672.15002,672.20001,671.77002,672.030029,116482
2025-11-17 10:30:00,672.039978,672.37000,671.84003,672.15997,141744
2025-11-17 10:29:00,672.020020,672.32001,671.90997,672.059998,115835
2025-11-17 10:28:00,671.33002,672.090027,671.29999,672.030029,281786
2025-11-17 10:27:00,671.19000,671.46997,671.15997,671.34003,77875
2025-11-17 10:26:00,671,671.56000,670.95001,671.19049,103408
2025-11-17 10:25:00,671.33002,671.44000,670.83002,670.98999,141117
2025-11-17 10:24:00,671.51001,671.84998,671.19000,671.33002,108634
2025-11-17 10:23:00,671.39001,671.65002,671.34003,671.51001,142156
2025-11-17 10:22:00,670.95001,671.46997,670.78003,671.40997,147044
2025-11-17 10:21:00,671.25,671.25500,670.64001,670.98999,159686
2025-11-17 10:20:00,670.76001,671.28998,670.54999,671.25500,224238
2025-11-17 10:19:00,671.21997,671.29999,670.59998,670.76257,168063
2025-11-17 10:18:00,671.42999,671.78998,671.17999,671.21997,121791
2025-11-17 10:17:00,672.080017,672.090027,671.27502,671.42999,232736
2025-11-17 10:16:00,671.92999,672.13000,671.71002,672.070007,132746
2025-11-17 10:15:00,671.73999,672.030029,671.73999,671.91998,143377
2025-11-17 10:14:00,671.90002,672.025024,671.47998,671.73999,124310
2025-11-17 10:13:00,671.78998,671.95001,671.45001,671.92999,150437
2025-11-17 10:12:00,671.76001,671.97937,671.58002,671.82501,142650
2025-11-17 10:11:00,671.20001,671.94000,671.125,671.75,214310
2025-11-17 10:10:00,670.89001,671.29999,670.82001,671.19501,245655
